home,away,date,svm
GSW,HOU,12/25/2019,[1]
LAL,LAC,12/25/2019,[0]
PHI,MIL,12/25/2019,[0]
TOR,BOS,12/25/2019,[0]
BKN,NYK,12/26/2019,[0]
DAL,SAS,12/26/2019,[0]
DET,WAS,12/26/2019,[0]
OKC,MEM,12/26/2019,[0]
SAC,MIN,12/26/2019,[0]
UTA,POR,12/26/2019,[0]
ATL,MIL,12/27/2019,[1]
BOS,CLE,12/27/2019,[0]
CHA,OKC,12/27/2019,[0]
GSW,PHX,12/27/2019,[0]
MIA,IND,12/27/2019,[0]
ORL,PHI,12/27/2019,[0]
BOS,TOR,12/28/2019,[0]
CHI,ATL,12/28/2019,[0]
DEN,MEM,12/28/2019,[0]
GSW,DAL,12/28/2019,[1]
HOU,BKN,12/28/2019,[0]
LAC,UTA,12/28/2019,[0]
MIA,PHI,12/28/2019,[0]
MIL,ORL,12/28/2019,[0]
MIN,CLE,12/28/2019,[0]
NOP,IND,12/28/2019,[0]
POR,LAL,12/28/2019,[0]
SAC,PHX,12/28/2019,[0]
SAS,DET,12/28/2019,[0]
WAS,NYK,12/28/2019,[0]
DEN,SAC,12/29/2019,[0]
LAL,DAL,12/29/2019,[0]
MEM,CHA,12/29/2019,[0]
NOP,HOU,12/29/2019,[0]
TOR,OKC,12/29/2019,[0]
CHI,MIL,12/30/2019,[0]
MIN,BKN,12/30/2019,[0]
ORL,ATL,12/30/2019,[0]
POR,PHX,12/30/2019,[0]
UTA,DET,12/30/2019,[0]
WAS,MIA,12/30/2019,[0]
CHA,BOS,12/31/2019,[1]
HOU,DEN,12/31/2019,[0]
IND,PHI,12/31/2019,[0]
OKC,DAL,12/31/2019,[1]
SAC,LAC,12/31/2019,[0]
SAS,GSW,12/31/2019,[0]
TOR,CLE,12/31/2019,[0]
LAL,PHX,01/01/2020,[0]
MIL,MIN,01/01/2020,[0]
NYK,POR,01/01/2020,[0]
WAS,ORL,01/01/2020,[0]
CHI,UTA,01/02/2020,[0]
CLE,CHA,01/02/2020,[0]
DAL,BKN,01/02/2020,[0]
IND,DEN,01/02/2020,[0]
LAC,DET,01/02/2020,[0]
MIA,TOR,01/02/2020,[0]
MIN,GSW,01/02/2020,[0]
SAC,MEM,01/02/2020,[0]
SAS,OKC,01/02/2020,[0]
